Playlist Name,Video Name,Video URL,Duration,Preview Image
Anime Shorts,Black Clover Anime Edit,https://www.youtube.com/watch?v=nFKPzrjeZv0,PT20S,https://i.ytimg.com/vi/nFKPzrjeZv0/hqdefault.jpg
Anime Shorts,Asta vs. Conrad,https://www.youtube.com/watch?v=K5RDcyZFcdY,PT25S,https://i.ytimg.com/vi/K5RDcyZFcdY/hqdefault.jpg
Anime Shorts,Muichiro vs Gyokko,https://www.youtube.com/watch?v=v21ttyEpHjc,PT18S,https://i.ytimg.com/vi/v21ttyEpHjc/hqdefault.jpg
Anime Shorts,Kaneki edit,https://www.youtube.com/watch?v=n4tKHn_nnco,PT16S,https://i.ytimg.com/vi/n4tKHn_nnco/hqdefault.jpg
Anime Shorts,Zhu Jin Entry,https://www.youtube.com/watch?v=sxfe0HiqtDA,PT12S,https://i.ytimg.com/vi/sxfe0HiqtDA/hqdefault.jpg
Anime Shorts,Demon Slayer 4th Season Trailer,https://www.youtube.com/watch?v=CO4XTw4i_UU,PT13S,https://i.ytimg.com/vi/CO4XTw4i_UU/hqdefault.jpg
Anime Shorts,Muichiro finishes off Gyokko,https://www.youtube.com/watch?v=6MZJ9musb88,PT21S,https://i.ytimg.com/vi/6MZJ9musb88/hqdefault.jpg
Anime Shorts,Buddha vs. Papiyas,https://www.youtube.com/watch?v=VyG9tm3OnBE,PT15S,https://i.ytimg.com/vi/VyG9tm3OnBE/hqdefault.jpg
Anime Shorts,Rudeus edit,https://www.youtube.com/watch?v=1pjm9tM8H6E,PT12S,https://i.ytimg.com/vi/1pjm9tM8H6E/hqdefault.jpg
Anime Shorts,Akira meets Shizuka,https://www.youtube.com/watch?v=FG2iXzPEVoA,PT12S,https://i.ytimg.com/vi/FG2iXzPEVoA/hqdefault.jpg
Anime Shorts,Ayanokoji Edit,https://www.youtube.com/watch?v=tSH7bkU3jlw,PT12S,https://i.ytimg.com/vi/tSH7bkU3jlw/hqdefault.jpg
Anime Shorts,Akaza Edit,https://www.youtube.com/watch?v=oO0mhgyG6R8,PT19S,https://i.ytimg.com/vi/oO0mhgyG6R8/hqdefault.jpg
Anime Shorts,Akatsuki Edit,https://www.youtube.com/watch?v=ULYoxk3jv-0,PT23S,https://i.ytimg.com/vi/ULYoxk3jv-0/hqdefault.jpg
Anime Shorts,Tomura overpowers the heroes,https://www.youtube.com/watch?v=Dna1JPPBmDI,PT16S,https://i.ytimg.com/vi/Dna1JPPBmDI/hqdefault.jpg
Anime Shorts,Boru-shiki appears with rasengan,https://www.youtube.com/watch?v=WRtvS-f0b_A,PT30S,https://i.ytimg.com/vi/WRtvS-f0b_A/hqdefault.jpg
